,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
51955,gdb_51956,C1CC1C(=O)OCC=O,5.53941,0.69581,0.68199,3.2274,71.94,-0.2628,-0.0343,0.2285,1646.9774,0.133441,-458.990441,-458.981134,-458.98019,-459.02729,31.842
93922,gdb_93923,CC1CCC(C1)C(N)=O,3.41491,0.97635,0.8811,3.2864,82.64,-0.2403,0.037,0.2773,1418.7545,0.194998,-404.410858,-404.400863,-404.399919,-404.448016,36.282
116579,gdb_116580,CCN=C1OC2CNC12,5.11089,0.8897,0.83417,3.0058,80.02,-0.2338,0.0204,0.2541,1450.9553,0.159665,-419.166073,-419.157451,-419.156507,-419.200383,31.653
116893,gdb_116894,CCCC#CC(C)OC,4.08881,0.52026,0.47574,0.9339,93.94,-0.24,0.0486,0.2886,2418.0205,0.202285,-388.261281,-388.249479,-388.248535,-388.300652,40.472
52410,gdb_52411,C1CC1OCCCC=O,7.24322,0.474,0.46931,2.9342,81.75,-0.251,-0.0216,0.2293,2312.7143,0.179672,-424.210293,-424.200012,-424.199068,-424.247654,35.567
39511,gdb_39512,C1COCC2OC2CO1,2.3716,1.78713,1.21564,2.425,70.85,-0.2417,0.0753,0.317,1044.8165,0.160982,-460.120226,-460.112574,-460.11163,-460.152223,30.018
67111,gdb_67112,OC12C3CC11CCC2N31,2.59591,2.06333,1.74381,1.5294,75.38,-0.2404,0.076,0.3164,879.2474,0.149452,-401.857017,-401.850191,-401.849247,-401.887715,28.471
4739,gdb_4740,Cc1cc([nH]c1)C=O,6.99473,1.24763,1.06577,2.9414,74.58,-0.2238,-0.0426,0.1812,1065.9241,0.119835,-362.727977,-362.72048,-362.719536,-362.760126,27.012
73385,gdb_73386,CC12COC3C1N2C3=O,2.91021,1.74647,1.40422,4.046,68.05,-0.2396,-0.0135,0.2261,943.3357,0.12454,-437.863361,-437.856094,-437.855149,-437.894885,28.189
70582,gdb_70583,CC12OC1COC1CC21,2.59333,1.84381,1.326,2.5417,74.57,-0.2502,0.0848,0.335,1009.3939,0.159728,-422.999374,-422.991708,-422.990764,-423.031034,30.83
48122,gdb_48123,N=C(C=O)N1CCC1=O,2.4618,1.58448,1.01246,4.9131,70.76,-0.2652,-0.0736,0.1917,1119.3779,0.111822,-453.969927,-453.961523,-453.960579,-454.003829,29.428
97961,gdb_97962,C(CC(=O)N)C#CCO,5.08059,0.49692,0.45759,2.8082,78.74,-0.2424,0.028,0.2704,2282.7478,0.144703,-439.084629,-439.073375,-439.072431,-439.125445,37.018
66129,gdb_66130,CC1(CCC2NC12)C=O,2.47141,1.55868,1.28641,2.4961,78.23,-0.244,-0.0224,0.2216,1074.04,0.171485,-403.15079,-403.142304,-403.14136,-403.183896,32.713
39879,gdb_39880,C1CC11C2OC3CC2C13,3.96061,1.51471,1.40081,1.5555,79.43,-0.2367,0.0905,0.3271,985.6072,0.161359,-385.825617,-385.819012,-385.818068,-385.856299,28.135
91650,gdb_91651,CC1CC2OC1C2(C)C,2.44621,1.57732,1.30564,1.6351,84.52,-0.2406,0.0832,0.3238,1126.1797,0.206102,-388.277256,-388.268387,-388.267443,-388.309861,35.811
85784,gdb_85785,NC1CN(C(N)=N)C1=O,3.07257,1.23876,0.9291,1.0208,73.1,-0.2358,-0.0096,0.2263,1232.0158,0.137579,-451.355208,-451.34622,-451.345276,-451.389094,33.075
105013,gdb_105014,COC1(CC1)C(O)C#C,2.18622,1.34615,1.15693,0.6609,77.2,-0.2454,0.0331,0.2785,1188.2748,0.15532,-422.952748,-422.942526,-422.941581,-422.988229,37.178
41655,gdb_41656,C1OCC2C3C4C3N2C14,3.24993,1.99532,1.65343,1.2107,73.43,-0.2263,0.091,0.3173,858.9885,0.151317,-401.876093,-401.870035,-401.869091,-401.906153,25.961
19247,gdb_19248,OC1C2OC2C1C#C,3.32935,2.02284,1.60368,1.9173,62.7,-0.2495,0.036,0.2855,810.3188,0.10561,-382.456693,-382.449472,-382.448528,-382.48813,27.304
97216,gdb_97217,CN=C1CCCN1C=O,1.86918,1.77958,0.96046,2.0084,80.5,-0.246,-0.0156,0.2304,1230.3186,0.160546,-419.249658,-419.240938,-419.239994,-419.283362,32.02
113363,gdb_113364,COC1CC1(CO)C=O,1.91998,1.30922,0.97683,2.4676,73.79,-0.2476,-0.0236,0.224,1289.1741,0.156078,-460.140435,-460.130314,-460.12937,-460.175882,35.612
72782,gdb_72783,CC12OCC1=CCC2=O,2.39998,1.80573,1.38311,3.3812,74.83,-0.2362,-0.0255,0.2107,987.9326,0.135002,-421.808083,-421.800101,-421.799157,-421.840466,30.39
57800,gdb_57801,CC(C)C#CCC1CC1,4.14549,0.59337,0.54264,0.128,96.04,-0.2391,0.0596,0.2987,2138.5726,0.204094,-351.126238,-351.115455,-351.114511,-351.1642,38.802
39686,gdb_39687,C1CCC(C1)C2COC2,4.03969,0.91112,0.79155,2.0277,84.75,-0.2408,0.0728,0.3135,1496.8787,0.207858,-388.285644,-388.276597,-388.275653,-388.321937,32.943
92119,gdb_92120,CC1OC2CC3(CC3)C12,2.72543,1.5353,1.19845,1.6113,82.17,-0.2353,0.0789,0.3142,1114.8555,0.182608,-387.045898,-387.03768,-387.036736,-387.078515,32.728
108450,gdb_108451,OCC12CCC1NC2=O,2.34325,1.66822,1.22649,4.2567,72.01,-0.2513,0.0223,0.2736,1058.0365,0.148638,-439.088954,-439.080704,-439.07976,-439.121873,31.28
40981,gdb_40982,C1OC2(OCC=C2)C=C1,4.06745,1.30422,1.29196,1.3861,76.5,-0.249,0.0013,0.2503,1041.8919,0.136801,-421.836029,-421.82879,-421.827846,-421.867888,28.229
13774,gdb_13775,CC(C)C1CC1C=O,3.33287,1.29299,1.03723,3.2868,76.83,-0.2444,-0.0165,0.2278,1183.6717,0.175114,-349.012949,-349.003801,-349.002857,-349.046894,33.391
50920,gdb_50921,O=CNC(C#C)C1CO1,2.45852,1.1692,0.90872,2.2407,72.37,-0.2589,0.0157,0.2746,1279.5521,0.122103,-437.842561,-437.833335,-437.832391,-437.877936,32.408
79371,gdb_79372,CC1C2C3OC2(C#N)C13,3.34562,1.37194,1.11101,4.7892,73.85,-0.2584,-0.0103,0.2481,1089.5567,0.123646,-400.664991,-400.657487,-400.656543,-400.696964,28.891
108487,gdb_108488,OCC12COC1CC2O,2.15841,1.58824,1.21019,1.3092,70.27,-0.2496,0.0509,0.3004,1095.8192,0.158633,-460.113191,-460.104356,-460.103412,-460.14712,33.053
102534,gdb_102535,CCC(OC)C(C)C=O,1.9533,1.17026,0.86558,3.4531,82.79,-0.2388,-0.0164,0.2224,1464.039,0.201677,-425.43165,-425.420059,-425.419115,-425.469476,40.086
93567,gdb_93568,CC1OCC(=C1)C(C)=O,3.54179,1.02338,0.84075,1.327,80.71,-0.2431,-0.0552,0.1879,1392.318,0.157185,-423.057381,-423.04794,-423.046996,-423.092405,33.719
37168,gdb_37169,C1C2C1C13COC1C2C3,3.4041,1.72307,1.58014,1.9274,77.74,-0.2419,0.0699,0.3117,916.4051,0.162491,-385.789229,-385.783045,-385.782101,-385.819265,27.448
80138,gdb_80139,CC1C2N=CNC=NC12,2.43925,1.79928,1.43064,2.2439,79.5,-0.2125,-0.0092,0.2033,984.0324,0.150554,-398.12725,-398.119487,-398.118543,-398.159375,30.126
27279,gdb_27280,Cc1ccn2c1NCC2,3.01617,1.59908,1.07483,2.6049,83.77,-0.1743,0.0557,0.23,1128.85,0.162532,-382.106216,-382.098196,-382.097252,-382.13882,30.662
24517,gdb_24518,c1cncc2c1nco2,4.12624,1.71297,1.21046,1.4966,71.2,-0.261,-0.0465,0.2145,919.5344,0.094148,-415.688132,-415.682519,-415.681575,-415.71809,22.377
92930,gdb_92931,OC1CC=CN(C1)C=O,3.32915,1.12509,0.8711,3.8028,77.74,-0.2197,-0.0053,0.2144,1286.0002,0.148984,-439.124235,-439.115897,-439.114953,-439.157223,31.467
70018,gdb_70019,CC12CC1C1OCCC21,3.18611,1.45781,1.28492,1.7144,81.0,-0.2321,0.0815,0.3137,1082.4098,0.184339,-387.068938,-387.06096,-387.060015,-387.101355,31.564
115387,gdb_115388,COC1CCC(C)CC1,2.80861,1.05899,0.96702,1.0106,89.09,-0.2456,0.0777,0.3233,1414.0007,0.229935,-389.51399,-389.504222,-389.503278,-389.548535,37.452
10995,gdb_10996,CC12CN1C(=O)C=C2,4.23909,1.9113,1.57573,4.4868,67.32,-0.2506,-0.0528,0.1978,824.0487,0.119386,-362.677373,-362.670588,-362.669644,-362.708055,26.128
13922,gdb_13923,C1CC2(C1)C(=O)CO2,3.42364,1.93587,1.55357,1.1069,65.27,-0.2515,-0.0308,0.2207,857.8942,0.129942,-383.728097,-383.720878,-383.719934,-383.759837,26.827
126140,gdb_126141,CCC(C)C1=CN=NN1,3.69011,0.96846,0.83289,5.0031,80.71,-0.2481,0.0042,0.2523,1423.6395,0.171973,-399.340724,-399.331568,-399.330624,-399.375593,33.429
48787,gdb_48788,O=CC12CC1CC21CC1,2.71383,1.44466,1.14604,2.9897,81.46,-0.2433,-0.0239,0.2194,1121.2722,0.15867,-385.859146,-385.850952,-385.850008,-385.891821,31.743
125460,gdb_125461,Cc1[nH]nc(n1)OC=O,6.86764,0.86111,0.77826,6.6284,66.09,-0.2624,-0.0124,0.2499,1386.8882,0.101142,-470.056637,-470.04833,-470.047386,-470.09108,28.208
61045,gdb_61046,OC(C=O)C1COC1=O,2.987,1.17841,0.88252,2.0033,61.69,-0.2819,-0.0527,0.2292,1224.0233,0.111095,-494.925107,-494.916699,-494.915755,-494.959054,29.62
78133,gdb_78134,OC1C2C1C(=O)N2C=N,2.45076,1.56921,1.27692,4.574,68.98,-0.2488,-0.0289,0.2199,1017.3434,0.111847,-453.921052,-453.912816,-453.911872,-453.954486,29.721
63497,gdb_63498,CC1(O)CC1(O)CC=O,3.16507,1.11866,0.97179,2.3521,72.76,-0.2441,-0.0305,0.2135,1258.3236,0.155044,-460.158546,-460.148702,-460.147758,-460.192875,36.836
73828,gdb_73829,CC1=C(C)C2CC2(C)C1,2.5996,1.35534,1.0304,0.1035,93.19,-0.2067,0.034,0.2408,1288.9554,0.204884,-351.178,-351.168396,-351.167452,-351.211634,37.19
119328,gdb_119329,COCC12C3C4C(C13)N24,5.33219,1.02731,0.9944,1.2475,75.27,-0.2134,0.0613,0.2746,1244.4914,0.146449,-401.805068,-401.79701,-401.796066,-401.83851,29.83
77602,gdb_77603,CC1C2(C)CC=CC12O,1.84037,1.66028,1.63507,1.335,83.31,-0.223,0.0203,0.2433,1072.0109,0.181317,-387.092595,-387.083349,-387.082405,-387.125598,36.073
86284,gdb_86285,NC1CC(N)C1(N)C#N,1.81577,1.64421,1.14907,3.5355,76.65,-0.2367,0.0294,0.2661,1155.1936,0.161018,-415.375257,-415.365643,-415.364699,-415.409435,36.117
46396,gdb_46397,O=C1OCC1CC1CN1,3.44009,1.09313,0.89265,4.4519,71.73,-0.2406,0.0019,0.2425,1289.2087,0.148731,-439.079104,-439.070838,-439.069894,-439.112774,30.234
44651,gdb_44652,O=C1CC2C=CC(=O)C12,2.49731,1.84808,1.20482,5.1762,72.31,-0.2442,-0.062,0.1822,989.5626,0.113014,-420.665797,-420.658708,-420.657763,-420.697823,27.138
88103,gdb_88104,CC1CC11CC=CCO1,3.34697,1.26675,1.07241,1.0186,84.13,-0.239,0.0261,0.2651,1208.0396,0.182937,-387.086287,-387.077788,-387.076844,-387.119055,33.459
4465,gdb_4466,Cc1c(nc(o1)O)N,3.51206,1.88497,1.23793,1.6247,60.81,-0.1858,0.0378,0.2235,924.8256,0.107684,-415.9009,-415.893118,-415.892174,-415.932912,28.218
71209,gdb_71210,CC12NC3C(OC13)C2=O,2.41649,2.07402,1.6437,2.1842,67.64,-0.2224,-0.0283,0.1941,880.9915,0.124985,-437.836825,-437.829794,-437.82885,-437.868084,27.749
120952,gdb_120953,COCC1CC2CC1O2,4.44249,0.91729,0.89082,0.9209,78.83,-0.2432,0.0899,0.3331,1404.0792,0.18352,-424.192496,-424.184053,-424.183109,-424.226066,31.985
65141,gdb_65142,CC1(CC1)C1CC(=N)O1,3.42054,1.14918,1.0083,2.7843,80.45,-0.2614,0.0285,0.2899,1248.0186,0.170588,-403.143781,-403.135017,-403.134073,-403.177382,33.577
76716,gdb_76717,CC1C(CNC=O)N1C,2.70883,1.02114,0.96694,2.8224,80.13,-0.2184,0.0283,0.2467,1353.0895,0.181425,-420.398535,-420.388263,-420.387319,-420.434517,36.591
36767,gdb_36768,C#CCCCC1COC1,5.92453,0.55517,0.52936,1.4528,84.92,-0.245,0.0526,0.2976,2048.7619,0.181014,-387.036109,-387.026139,-387.025195,-387.072614,35.358
129823,gdb_129824,NC1=CC(=NO1)C1CO1,4.701,1.00882,0.87982,3.7966,69.46,-0.2204,0.0044,0.2248,1268.4744,0.113022,-453.914985,-453.907162,-453.906218,-453.947753,29.102
22387,gdb_22388,CC12CN(C1)CC2=NO,2.64846,1.52994,1.14079,1.1395,78.87,-0.2272,0.0167,0.2439,1108.9836,0.160026,-419.134227,-419.126081,-419.125137,-419.166576,32.166
91443,gdb_91444,CC12CC(CC1O)C2=O,2.40809,1.71918,1.32118,2.901,75.17,-0.2334,-0.0027,0.2307,1028.2746,0.159191,-423.036155,-423.027699,-423.026755,-423.068774,32.711
102235,gdb_102236,CC(=O)NC(CO)C#N,2.39545,1.02044,0.86931,3.2784,70.77,-0.2645,0.0073,0.2718,1387.5098,0.134124,-455.186737,-455.176522,-455.175578,-455.223709,34.755
131237,gdb_131238,c1c(cn(n1)C2CC2)O,4.31529,1.0392,0.89783,3.4833,76.45,-0.2057,0.023,0.2286,1284.3115,0.136976,-417.998099,-417.990012,-417.989068,-418.031775,30.425
118492,gdb_118493,CCCC(OC)C1CC1,2.26429,0.94331,0.70872,1.0764,90.12,-0.2454,0.0919,0.3373,1713.2662,0.226998,-389.475983,-389.464926,-389.463982,-389.512857,39.924
124918,gdb_124919,Cc1c(c(no1)N)C#N,2.02975,1.90119,0.98849,1.4481,71.63,-0.2502,-0.0369,0.2133,1114.97,0.101214,-432.892475,-432.884064,-432.88312,-432.925778,30.201
127755,gdb_127756,Cn1c2cc[nH]c2nn1,3.58769,1.66014,1.14318,3.7721,74.65,-0.2143,-0.0068,0.2075,1005.1359,0.11596,-412.996276,-412.98914,-412.988195,-413.027839,27.082
19285,gdb_19286,CCC1C2CC2C1C,2.95407,1.68817,1.30515,0.2469,81.26,-0.2487,0.0866,0.3352,1060.6312,0.200534,-313.048533,-313.039947,-313.039003,-313.081336,33.021
130441,gdb_130442,NC1=C([O-])C(C[NH3+])=NO1,3.07263,1.33239,0.96113,2.7049,69.54,-0.1862,0.0124,0.1986,1177.8586,0.125765,-471.188027,-471.179481,-471.178537,-471.221061,32.013
108488,gdb_108489,OCC12OCC1CC2O,2.25773,1.59658,1.29575,3.3645,70.4,-0.2439,0.0445,0.2884,1067.0965,0.159146,-460.120649,-460.112086,-460.111142,-460.154217,32.553
127823,gdb_127824,CN=C(c1conn1)N,4.54245,1.04161,0.85235,2.6259,71.9,-0.2367,-0.0476,0.189,1286.2826,0.112165,-450.109243,-450.100816,-450.099872,-450.1426,30.375
11928,gdb_11929,CC12CCC1(O2)C#C,3.30195,1.87079,1.45692,1.912,72.84,-0.2377,0.0217,0.2594,903.257,0.128203,-346.543049,-346.535225,-346.534281,-346.574793,29.82
27495,gdb_27496,NC1=CC(=N)OC(=O)N1,2.10746,1.86408,0.99061,5.8456,70.7,-0.2214,-0.0185,0.2029,1101.7191,0.102788,-470.07744,-470.069732,-470.068788,-470.109703,29.362
128820,gdb_128821,COCc1c(n[nH]n1)O,3.30817,1.08415,0.86489,0.9326,68.2,-0.2367,-0.0025,0.2342,1313.6481,0.124813,-471.191478,-471.182715,-471.181771,-471.226125,30.693
18187,gdb_18188,N#CC1C=CC2NC12,4.26947,1.84334,1.49802,5.2254,66.04,-0.2548,-0.012,0.2428,823.2749,0.109472,-341.572258,-341.565912,-341.564968,-341.602809,24.343
66324,gdb_66325,CC1(CCOC=N1)C#N,2.47773,1.47858,1.33932,4.0614,73.03,-0.2709,-0.0026,0.2683,1042.7175,0.137095,-418.037716,-418.029533,-418.028589,-418.070388,30.733
60934,gdb_60935,CC(C=O)C1C2CN1C2,3.01386,1.14781,0.9806,3.9145,80.17,-0.2342,-0.0192,0.2151,1269.9201,0.170525,-403.071824,-403.063118,-403.062174,-403.106281,32.251
78388,gdb_78389,CC1(C)C2C3C(O)C3N12,2.9125,1.52894,1.19775,1.2465,79.48,-0.2161,0.0531,0.2692,1095.2771,0.169315,-403.037537,-403.028765,-403.027821,-403.070493,34.544
84034,gdb_84035,CN1C2CCCOCC12,2.65287,1.41075,1.13224,1.6377,81.84,-0.2148,0.0763,0.2911,1174.9189,0.196393,-404.31427,-404.305889,-404.304945,-404.346855,33.23
37080,gdb_37081,C1C2=CC3N=C1N1C3C21,2.95646,2.76033,2.4116,1.369,73.34,-0.2167,-0.1117,0.105,685.2128,0.114848,-379.486977,-379.481632,-379.480688,-379.516084,23.739
117388,gdb_117389,OCCC(=O)CC1CN1,2.82632,0.81514,0.66763,1.5012,76.1,-0.2439,-0.0181,0.2258,1679.1279,0.169199,-440.264662,-440.254439,-440.253495,-440.302219,35.479
102853,gdb_102854,OCC(CC#N)NC=O,1.71869,1.38266,0.86819,6.9738,70.18,-0.2595,0.0207,0.2802,1320.9596,0.134925,-455.178352,-455.168461,-455.167517,-455.214427,33.949
86874,gdb_86875,OC1CC(NC1=O)C=O,2.87384,1.26843,1.03257,3.7142,65.71,-0.2582,-0.0434,0.2147,1144.2389,0.124111,-475.070195,-475.061803,-475.060858,-475.103876,30.541
33285,gdb_33286,C#CC#CC12CC(C1)C2,6.20879,0.7111,0.71108,1.1758,100.02,-0.2396,-0.0153,0.2242,1608.7174,0.135569,-347.454535,-347.446446,-347.445502,-347.487475,31.399
31077,gdb_31078,Cc1c(nc(o1)O)OC,2.32097,1.49017,0.91796,1.2412,69.28,-0.192,0.0319,0.2239,1228.8301,0.123294,-475.056949,-475.047916,-475.046972,-475.09152,31.683
108018,gdb_108019,OCC12OC3C4C1N4C23,3.90548,1.52805,1.38246,1.4357,65.73,-0.2522,0.0528,0.305,936.1567,0.12511,-437.778842,-437.77214,-437.771196,-437.809982,26.878
112454,gdb_112455,OCC1OC(=O)CC1O,2.3994,1.36094,0.98248,4.3041,64.62,-0.2675,0.0083,0.2758,1190.3123,0.13553,-496.136757,-496.128067,-496.127123,-496.170462,31.968
126222,gdb_126223,CCc1c(c(no1)N)N,3.06147,1.21211,0.91844,3.5975,76.48,-0.2113,0.015,0.2263,1284.5007,0.148257,-435.266431,-435.257053,-435.256109,-435.300847,34.319
5261,gdb_5262,COCc1c[nH]cn1,7.15847,1.12975,0.98787,2.3765,67.24,-0.2162,0.0373,0.2534,1155.4195,0.131692,-379.945427,-379.937601,-379.936657,-379.978669,27.42
114425,gdb_114426,OCC1OC2C1OC2=O,3.30022,1.17106,1.15517,3.3794,60.83,-0.2689,-0.0233,0.2456,1096.3878,0.112451,-494.880854,-494.873205,-494.872261,-494.913629,28.092
44127,gdb_44128,O=C1NC2C(N1)C2C#C,2.50947,1.7273,1.35093,3.6427,70.42,-0.2305,0.0333,0.2637,963.097,0.113736,-416.802991,-416.795391,-416.794446,-416.835057,29.556
126182,gdb_126183,CCC(O)C1=NON=N1,3.98857,1.00023,0.86413,2.1754,66.49,-0.2941,-0.0758,0.2183,1317.339,0.12253,-471.148978,-471.140229,-471.139285,-471.183362,30.81
36122,gdb_36123,N#CCC12CC1N=CO2,4.28503,1.14286,1.03501,2.7906,68.76,-0.2628,-0.0003,0.2625,1123.5043,0.113576,-416.814882,-416.807441,-416.806497,-416.847457,27.715
11201,gdb_11202,O=CC1CC(=O)C=C1,5.03976,1.37319,1.20282,2.6835,64.65,-0.2496,-0.0553,0.1943,960.4716,0.106588,-382.581994,-382.574811,-382.573867,-382.614383,25.508
50112,gdb_50113,O=CC1OC1CCC#N,3.88128,0.69124,0.61908,3.2315,71.39,-0.2737,-0.0551,0.2186,1696.019,0.122085,-437.883553,-437.874393,-437.873449,-437.919141,31.372
6811,gdb_6812,CC1(C)COC1C#C,3.02447,1.71765,1.4367,1.9818,73.68,-0.25,0.0205,0.2705,959.1716,0.151203,-347.754696,-347.745961,-347.745017,-347.78792,32.347
103327,gdb_103328,CC1C2CC1C2(C)CO,3.28066,1.14602,1.01537,1.2288,86.74,-0.2608,0.0742,0.335,1295.6758,0.205294,-388.226961,-388.217388,-388.216444,-388.260985,37.02
56787,gdb_56788,CC(C#C)C1=CCCC1,2.86594,1.04757,0.95086,0.5845,90.86,-0.2321,0.0225,0.2546,1369.4707,0.181985,-349.942579,-349.93309,-349.932146,-349.977189,35.594
34033,gdb_34034,N#CC12CC1CCCC2,2.96144,1.29028,1.11093,4.511,83.1,-0.2744,0.0366,0.311,1167.908,0.174032,-366.040645,-366.032669,-366.031725,-366.072983,31.553
64300,gdb_64301,CC1(O)CCC=C1C#N,2.32331,1.53079,1.1497,3.864,80.0,-0.266,-0.0432,0.2228,1117.6707,0.147249,-401.987197,-401.978316,-401.977372,-402.020661,33.381
57494,gdb_57495,CC(C)(C)N=COC=O,3.54265,0.74883,0.71679,4.1945,80.41,-0.2627,-0.0239,0.2388,1657.0553,0.166827,-440.317288,-440.306753,-440.305809,-440.353318,37.578
40801,gdb_40802,C1NC1C1CCN=CO1,4.06986,1.06788,0.89478,3.169,76.57,-0.2435,0.0293,0.2728,1297.1848,0.161831,-419.191818,-419.183829,-419.182885,-419.224897,30.193
47985,gdb_47986,O=CC#CC1C2CC1O2,5.80916,0.72735,0.69426,1.7217,78.62,-0.2565,-0.07,0.1866,1554.7626,0.111089,-420.524894,-420.516823,-420.515879,-420.559422,28.515
9982,gdb_9983,C(C#N)C(C=O)C=O,2.70522,1.50781,1.007,1.8805,59.82,-0.278,-0.0703,0.2077,1064.8736,0.092358,-398.625526,-398.617102,-398.616158,-398.659803,27.642
20199,gdb_20200,C1C=C2COC3C1C23,3.83014,2.62214,2.04541,1.0645,69.29,-0.2206,-0.0204,0.2002,704.176,0.133202,-346.543428,-346.537802,-346.536858,-346.572765,23.566
13122,gdb_13123,COCC1NCC1=O,4.52287,1.1195,0.94422,1.721,66.59,-0.2428,-0.0273,0.2155,1222.7492,0.140717,-400.973564,-400.965046,-400.964102,-401.007464,29.609
6583,gdb_6584,CC12CC(C)(C1)CC2,3.73806,1.75908,1.51566,0.0346,82.0,-0.2797,0.0844,0.3641,963.9624,0.201483,-313.081152,-313.073331,-313.072387,-313.112332,32.167
111368,gdb_111369,CNC1C2NC2C1C#N,2.22388,1.5371,1.09208,5.7249,76.6,-0.2259,0.0297,0.2556,1152.2528,0.148666,-398.081341,-398.072733,-398.071789,-398.115009,31.685
9387,gdb_9388,CCOCC(N)C#N,5.6559,0.86117,0.77738,4.7534,69.94,-0.2613,0.0238,0.2851,1448.1299,0.152714,-381.119954,-381.110365,-381.109421,-381.155001,32.931
127831,gdb_127832,CN=C(c1ncon1)N,4.62981,1.0648,0.87152,3.7479,70.93,-0.237,-0.0452,0.1918,1268.4559,0.113073,-450.125147,-450.116888,-450.115944,-450.158486,29.656
61291,gdb_61292,CN(CC#N)CC(=O)N,4.09739,0.76488,0.74547,0.4194,73.71,-0.2457,0.004,0.2496,1526.474,0.146559,-435.295491,-435.285502,-435.284558,-435.331171,35.28
56271,gdb_56272,NC(=O)NCCC1CO1,5.5816,0.62858,0.59999,2.9531,73.11,-0.2484,0.0559,0.3043,1826.9863,0.15902,-456.360164,-456.350313,-456.349369,-456.396354,34.969
84647,gdb_84648,OC1C=CC2NC2C1=O,2.2268,1.88384,1.49121,4.4664,69.7,-0.2331,-0.042,0.1911,941.4731,0.12612,-437.876394,-437.869099,-437.868155,-437.907978,28.782
115236,gdb_115237,OCC1CCC(=O)OC1,3.94393,0.95761,0.80674,5.6806,72.08,-0.2555,0.0151,0.2707,1388.182,0.15997,-460.202528,-460.19366,-460.192716,-460.236561,32.501
37609,gdb_37610,C1C2C3C4C1C1C2C3N41,3.03825,2.49419,2.25088,1.9617,75.22,-0.2105,0.0599,0.2704,748.1192,0.152924,-364.746168,-364.741173,-364.740229,-364.775147,23.261
99281,gdb_99282,CC(C)OCC(=O)OC,3.40694,0.76841,0.65514,1.6896,77.16,-0.2583,0.0162,0.2745,1764.2088,0.178562,-461.389953,-461.378765,-461.37782,-461.428507,38.012
89534,gdb_89535,CC1CC2(O1)C1CC2O1,4.24784,1.17834,1.08951,3.3831,75.93,-0.2341,0.0787,0.3128,1172.8808,0.158387,-422.940403,-422.932569,-422.931625,-422.972973,30.795
57582,gdb_57583,CC(O)(C=O)C#CC=O,3.01975,0.78338,0.72234,1.5818,75.05,-0.27,-0.0813,0.1888,1558.0504,0.106889,-457.738712,-457.72825,-457.727306,-457.775747,34.611
51274,gdb_51275,C1C(=CNC1=O)CC=O,3.99353,0.88858,0.77331,4.3018,74.01,-0.2206,-0.0345,0.1862,1406.3969,0.123301,-437.941526,-437.932918,-437.931974,-437.976496,30.543
3276,gdb_3277,O=C1CC2CCC12,5.16742,2.51051,2.01118,2.8976,60.63,-0.2371,-0.019,0.2181,666.417,0.125672,-308.51084,-308.504739,-308.503795,-308.5411,23.079
8686,gdb_8687,CNC(C)(CN)C#N,2.1795,1.74312,1.53108,3.8426,71.7,-0.2429,0.0296,0.2725,1004.1806,0.164948,-361.240184,-361.230512,-361.229568,-361.273978,35.014
118045,gdb_118046,COCC(O)C(O)C=O,3.96421,0.77031,0.67576,2.7794,69.9,-0.2678,-0.0354,0.2324,1639.8688,0.155816,-497.289494,-497.279116,-497.278171,-497.325604,36.275
133128,gdb_133129,c1c(c(ncn1)F)CO,2.58927,1.53597,0.96988,3.1455,65.64,-0.2639,-0.0355,0.2283,1109.3383,0.101726,-478.01961,-478.011946,-478.011001,-478.052574,27.423
76605,gdb_76606,CC1C(C)C1C(=O)C=O,2.59359,1.06426,1.05848,1.8957,78.88,-0.244,-0.0887,0.1553,1285.1814,0.156698,-423.042095,-423.032349,-423.031405,-423.076969,34.954
85106,gdb_85107,CC1OC(=O)C1(C)C#C,1.98654,1.58088,1.2296,4.0111,74.53,-0.2612,0.001,0.2622,1112.1365,0.133143,-421.825904,-421.816596,-421.815652,-421.859788,34.091
70638,gdb_70639,CC12CN1CCC2C#N,2.43858,1.56034,1.1753,2.974,79.04,-0.2469,0.0318,0.2787,1102.6823,0.160768,-382.078626,-382.070353,-382.069409,-382.111315,31.854
81751,gdb_81752,CC1C2OC2(C#C)C1C,3.17041,1.25621,1.05841,1.82,83.34,-0.2421,0.0214,0.2635,1197.7357,0.156583,-385.826383,-385.817207,-385.816263,-385.859837,34.945
5961,gdb_5962,CC(O)(CCO)C#N,3.42237,1.16268,1.05955,4.1347,64.85,-0.2779,0.017,0.2949,1152.6735,0.139437,-401.004043,-400.994472,-400.993528,-401.038317,33.818
112057,gdb_112058,CCC1C=CCC1C#N,1.99466,1.53135,0.95015,3.9443,84.35,-0.2574,0.0046,0.262,1270.8498,0.171875,-366.04759,-366.038626,-366.037682,-366.081633,33.341
114507,gdb_114508,OCC1CC2OC(=O)C12,2.78631,1.33318,1.0576,2.927,67.61,-0.2719,0.0057,0.2776,1135.1527,0.136011,-458.964584,-458.956451,-458.955507,-458.997895,29.996
126612,gdb_126613,CCCn1cnc(n1)C,4.47783,0.83464,0.74455,2.8276,82.42,-0.2463,0.018,0.2643,1595.5447,0.17183,-399.374738,-399.365277,-399.364333,-399.410208,33.344
